predictor,risk_policy,target_style,rollouts,adjusted_delay_s,footprint_margin_m,solver_failure_fraction,supervisor_active_fraction,observed_collisions,yield_success_rate
B0,adaptive,assertive,5,8.220000122487544,1.249576263748136,0.0038386967545371645,0.1391626798961336,0,1.0
B0,adaptive,reactive,5,8.670000129193067,1.2470403915906378,0.0035676623318553814,0.15292053666478433,0,1.0
B0,fixed_aggressive,assertive,5,8.330000124126673,1.2883327084165968,0.0037946165206578647,0.13756446973701372,0,1.0
B0,fixed_aggressive,reactive,5,8.81000013127923,1.2294281744013136,0.0035201792495256545,0.15306209785146907,0,1.0
B0,fixed_conservative,assertive,5,8.260000123083591,1.3223197978932049,0.00579063703062849,0.13717932671516705,0,1.0
B0,fixed_conservative,reactive,5,8.790000130981207,1.2608540929305687,0.004499080536514233,0.15327914886375055,0,1.0
B0,fixed_medium,assertive,5,8.230000122636557,1.3265569399727073,0.005791800184364163,0.1376592313207475,0,1.0
B0,fixed_medium,reactive,5,9.040000134706498,1.2036631591144282,0.0033866886694823143,0.14929275522440089,0,1.0
B1,adaptive,assertive,5,8.510000126808881,1.2540843322419728,0.00372072572510329,0.13505649880697762,0,1.0
B1,adaptive,reactive,5,8.590000128000975,1.20021298658461,0.00441131215488118,0.15512712270942886,0,1.0
B1,fixed_aggressive,assertive,5,8.19000012204051,1.253281434999309,0.0038384615939109482,0.1391506494363957,0,1.0
B1,fixed_aggressive,reactive,5,8.340000124275685,1.1856344464767816,0.003655269357781786,0.1594652007060669,0,1.0
B1,fixed_conservative,assertive,5,8.080000120401383,1.2616199292775552,0.004871945237298412,0.14057412401011213,0,1.0
B1,fixed_conservative,reactive,5,9.150000136345625,1.124660200427937,0.00325979739966271,0.14283799990554064,0,1.0
B1,fixed_medium,assertive,5,8.870000132173299,1.2565213005596925,0.004383935909389136,0.13111247793945402,0,1.0
B1,fixed_medium,reactive,5,8.99000013396144,1.1913865979465963,0.0034226048142834372,0.15174779150388906,0,1.0
