difficulty,arm,policy,gate_status,footprint_collision,target_clears_before_ego_enters,completion_time,completion_valid,solver_failure_frac,feasibility_percent,forced_reference_linearization_frac,dmin_TV,min_center_distance_m,min_footprint_separation_m,first_stop_distance_to_conflict_m,waiting_time_after_first_stop_s,delay_after_target_clearance_s,supervisor_active_fraction,solver_bypass_fraction,infeasible_fraction,mean_abs_final_minus_nominal_accel,critical_pre_tightening,near_pre_tightening,near_post_tightening
arrival_offset_m3p0,smpc_adaptive_floor_weak,smpc_var_risk,PASS,False,True,11.250000167638063,1.0,0.0,1.0,0.04424778761061947,4.724793875077516,4.724793877379085,1.2852954869787243,,,,,,,,1.7309197643553635,1.7087930807920866,1.281551565544597
arrival_offset_m3p0,smpc_fixed_aggressive,smpc_fixed_risk,PASS,False,True,10.600000157952309,1.0,0.0,1.0,0.046948356807511735,4.748324032565065,4.748324033247675,1.3123200166920872,,,,,,,,1.2815515655446004,1.2815515655446001,1.2815515655445977
arrival_offset_m3p0,smpc_fixed_conservative,smpc_fixed_risk,PASS,False,True,10.600000157952309,1.0,0.0,1.0,0.046948356807511735,4.758440997690685,4.758440999131333,1.3236938861941756,,,,,,,,2.0537489106318243,2.053748910631824,2.053748910631822
arrival_offset_m3p0,smpc_fixed_medium,smpc_fixed_risk,PASS,False,True,10.600000157952309,1.0,0.0,1.0,0.046948356807511735,4.758262099310827,4.758262100661943,1.3251463877651344,,,,,,,,1.6400000000000003,1.6400000000000001,1.6399999999999935
arrival_offset_p0p0,smpc_adaptive_floor_weak,smpc_var_risk,PASS,False,True,10.450000155717134,1.0,0.009523809523809525,0.9904761904761905,0.047619047619047616,4.732708194320065,4.732708196463921,1.3007375794506733,,,,,,,,1.7276605911152543,1.64708041747856,1.2815515655445975
arrival_offset_p0p0,smpc_fixed_aggressive,smpc_fixed_risk,PASS,False,True,10.200000151991844,1.0,0.00975609756097561,0.9902439024390244,0.04878048780487805,4.763598520546424,4.763598524742868,1.3366686819113478,,,,,,,,1.2815515655446004,1.2815515655446001,1.2815515655445977
arrival_offset_p0p0,smpc_fixed_conservative,smpc_fixed_risk,PASS,False,True,10.350000154227018,1.0,0.009615384615384616,0.9903846153846154,0.04807692307692308,4.75555308585536,4.755553089751445,1.3273129372898314,,,,,,,,2.0537489106318243,2.053748910631824,2.0537489106318225
arrival_offset_p0p0,smpc_fixed_medium,smpc_fixed_risk,PASS,False,True,10.400000154972076,1.0,0.009569377990430622,0.9904306220095693,0.04784688995215311,4.748395447366712,4.748395451279902,1.3179652554378332,,,,,,,,1.6400000000000003,1.6400000000000003,1.6399999999999935
arrival_offset_p3p0,smpc_adaptive_floor_weak,smpc_var_risk,PASS,False,True,11.450000170618296,1.0,0.030434782608695653,0.9695652173913043,0.20434782608695654,5.204302194321991,5.204302203824362,1.8520518222424778,,,,,,,,1.7263596749191374,1.5663792423762573,1.2815515655445964
arrival_offset_p3p0,smpc_fixed_aggressive,smpc_fixed_risk,PASS,False,True,12.35000018402934,1.0,0.020161290322580645,0.9798387096774194,0.06854838709677419,5.069927901111253,5.06992791345105,1.6673361019939703,,,,,,,,1.2815515655446006,1.2815515655446001,1.281551565544596
arrival_offset_p3p0,smpc_fixed_conservative,smpc_fixed_risk,PASS,False,True,10.650000158697367,1.0,0.028037383177570093,0.9719626168224299,0.07009345794392523,4.962349203857436,4.962349220505703,1.512361161903333,,,,,,,,2.0537489106318243,2.053748910631823,2.0537489106318234
arrival_offset_p3p0,smpc_fixed_medium,smpc_fixed_risk,PASS,False,True,9.850000146776438,1.0,0.030303030303030304,0.9696969696969697,0.09090909090909091,5.1006416339862914,5.100641646424284,1.7060747279718453,,,,,,,,1.6400000000000003,1.6400000000000001,1.6399999999999935
