difficulty,arm,policy,gate_status,footprint_collision,target_clears_before_ego_enters,completion_time,completion_valid,solver_failure_frac,feasibility_percent,forced_reference_linearization_frac,dmin_TV,min_center_distance_m,min_footprint_separation_m,first_stop_distance_to_conflict_m,waiting_time_after_first_stop_s,delay_after_target_clearance_s,supervisor_active_fraction,solver_bypass_fraction,infeasible_fraction,mean_abs_final_minus_nominal_accel,critical_pre_tightening,near_pre_tightening,near_post_tightening
arrival_offset_m3p0,smpc_adaptive_floor_weak,smpc_var_risk,PASS,False,True,10.650000158697367,1.0,0.0,1.0,0.04672897196261682,4.710490472158987,4.710490473394634,1.2646030013887517,,,,,,,,1.7309823592400642,1.7087930807920866,1.2815515655445975
arrival_offset_m3p0,smpc_adaptive_no_post_relax,smpc_var_risk,PASS,False,True,10.55000015720725,1.0,0.0,1.0,0.04716981132075472,4.718984927419407,4.718984929299858,1.2787204778856995,,,,,,,,1.7309210582610386,1.7600000000000005,1.6399999999999935
arrival_offset_m3p0,smpc_adaptive_no_preclearance,smpc_var_risk,PASS,False,True,11.500000171363354,1.0,0.0,1.0,0.04329004329004329,4.718285567420473,4.718285568814113,1.2745315171187843,,,,,,,,1.7033228233078062,1.6638011596323528,1.2815515655445968
arrival_offset_m3p0,smpc_adaptive_phase_blind,smpc_var_risk,PASS,False,True,10.400000154972076,1.0,0.0,1.0,0.04784688995215311,4.718783300049778,4.7187833017545024,1.2746830954052435,,,,,,,,1.7012923965282727,1.7279375013903853,1.6399999999999935
arrival_offset_m3p0,smpc_fixed_aggressive,smpc_fixed_risk,PASS,False,True,10.55000015720725,1.0,0.0,1.0,0.12735849056603774,4.7698223288802195,4.769822327059697,1.3407539613229418,,,,,,,,1.2815515655446004,1.2815515655446001,1.2815515655445977
arrival_offset_m3p0,smpc_fixed_conservative,smpc_fixed_risk,PASS,False,True,11.150000166147947,1.0,0.0,1.0,0.044642857142857144,4.758861752369979,4.758861753773657,1.3255363942033513,,,,,,,,2.0537489106318243,2.053748910631824,2.0537489106318234
arrival_offset_m3p0,smpc_fixed_medium,smpc_fixed_risk,PASS,False,True,10.350000154227018,1.0,0.0,1.0,0.0625,5.02285478753022,5.022854782953605,1.6530963901148181,,,,,,,,1.6400000000000003,1.6400000000000003,1.6399999999999935
arrival_offset_p3p0,smpc_adaptive_floor_weak,smpc_var_risk,PASS,False,True,11.10000016540289,1.0,0.03139013452914798,0.968609865470852,0.21524663677130046,5.204310766662815,5.204310776169522,1.8520457170379943,,,,,,,,1.7263595882055616,1.5663792423762573,1.2815515655445966
arrival_offset_p3p0,smpc_adaptive_no_post_relax,smpc_var_risk,PASS,False,True,11.200000166893005,1.0,0.03111111111111111,0.9688888888888889,0.15555555555555556,5.204406920430912,5.2044069299168765,1.8521956591168962,,,,,,,,1.726360481390141,1.7200000000000002,1.6399999999999926
arrival_offset_p3p0,smpc_adaptive_no_preclearance,smpc_var_risk,PASS,False,True,10.900000162422657,1.0,0.0319634703196347,0.9680365296803652,0.2100456621004566,5.195585490110207,5.195585499557635,1.8426245825937377,,,,,,,,1.7122846318871432,1.5373546016860324,1.2815515655445968
arrival_offset_p3p0,smpc_adaptive_phase_blind,smpc_var_risk,PASS,False,True,10.000000149011612,1.0,0.03482587064676617,0.9651741293532339,0.0945273631840796,5.204224600831296,5.20422461041511,1.8420897894803356,,,,,,,,1.7122521279117109,1.7271298156948054,1.6399999999999935
arrival_offset_p3p0,smpc_fixed_aggressive,smpc_fixed_risk,PASS,False,True,10.150000151246786,1.0,0.024509803921568627,0.9754901960784313,0.08823529411764706,5.087590675631541,5.087590686748046,1.6805678937081856,,,,,,,,1.2815515655446006,1.2815515655446001,1.2815515655445975
arrival_offset_p3p0,smpc_fixed_conservative,smpc_fixed_risk,PASS,False,True,11.450000170618296,1.0,0.02608695652173913,0.9739130434782609,0.06956521739130435,5.02901638422984,5.029016398432145,1.6101711388230096,,,,,,,,2.0537489106318243,2.053748910631823,2.0537489106318247
arrival_offset_p3p0,smpc_fixed_medium,smpc_fixed_risk,PASS,False,True,12.800000190734863,1.0,0.023346303501945526,0.9766536964980544,0.06614785992217899,5.064729132255141,5.064729146420858,1.6483926614159157,,,,,,,,1.6400000000000003,1.6400000000000001,1.6399999999999917
